 FP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,rate of people who use masks uneffectively,fips,county,,
1001,0.053,0.074,0.134,0.295,0.444,0.261,1001,Autauga,,TRUE
1003,0.083,0.059,0.098,0.323,0.436,0.24,1003,Baldwin,,TRUE
1005,0.067,0.121,0.12,0.201,0.491,0.308,1005,Barbour,,TRUE
1007,0.02,0.034,0.096,0.278,0.572,0.15,1007,Bibb,,TRUE
1009,0.053,0.114,0.18,0.194,0.459,0.347,1009,Blount,,TRUE
1011,0.031,0.04,0.144,0.286,0.5,0.215,1011,Bullock,,TRUE
1013,0.102,0.053,0.257,0.137,0.451,0.412,1013,Butler,,TRUE
1015,0.152,0.108,0.13,0.167,0.442,0.39,1015,Calhoun,,TRUE
1017,0.117,0.037,0.15,0.136,0.56,0.304,1017,Chambers,,TRUE
1019,0.135,0.027,0.161,0.158,0.52,0.323,1019,Cherokee,,TRUE
1021,0.06,0.07,0.058,0.194,0.618,0.188,1021,Chilton,,TRUE
1023,0.049,0.038,0.126,0.219,0.568,0.213,1023,Choctaw,,TRUE
1025,0.049,0.088,0.164,0.268,0.43,0.301,1025,Clarke,,TRUE
1027,0.148,0.158,0.195,0.169,0.329,0.501,1027,Clay,,TRUE
1029,0.151,0.125,0.138,0.217,0.368,0.414,1029,Cleburne,,TRUE
1031,0.101,0.152,0.094,0.186,0.466,0.347,1031,Coffee,,TRUE
1033,0.082,0.096,0.152,0.159,0.51,0.33,1033,Colbert,,TRUE
1035,0.099,0.052,0.259,0.192,0.399,0.41,1035,Conecuh,,TRUE
1037,0.055,0.131,0.167,0.263,0.384,0.353,1037,Coosa,,TRUE
1039,0.187,0.128,0.129,0.201,0.356,0.444,1039,Covington,,TRUE
1041,0.06,0.091,0.199,0.233,0.416,0.35,1041,Crenshaw,,TRUE
1043,0.13,0.024,0.249,0.217,0.379,0.403,1043,Cullman,,TRUE
1045,0.089,0.113,0.118,0.22,0.46,0.32,1045,Dale,,TRUE
1047,0.095,0.1,0.159,0.122,0.524,0.354,1047,Dallas,,TRUE
1049,0.084,0.051,0.106,0.179,0.58,0.241,1049,DeKalb,,TRUE
1051,0.042,0.095,0.127,0.252,0.485,0.264,1051,Elmore,,TRUE
1053,0.114,0.026,0.188,0.285,0.387,0.328,1053,Escambia,,TRUE
1055,0.096,0.103,0.178,0.122,0.501,0.377,1055,Etowah,,TRUE
1057,0.138,0.048,0.151,0.233,0.429,0.337,1057,Fayette,,TRUE
1059,0.065,0.071,0.223,0.156,0.484,0.359,1059,Franklin,,TRUE
1061,0.176,0.131,0.089,0.158,0.445,0.396,1061,Geneva,,TRUE
1063,0.03,0.053,0.127,0.167,0.623,0.21,1063,Greene,,TRUE
1065,0.026,0.061,0.084,0.191,0.639,0.171,1065,Hale,,TRUE
1067,0.066,0.068,0.17,0.258,0.438,0.304,1067,Henry,,TRUE
1069,0.085,0.079,0.135,0.268,0.433,0.299,1069,Houston,,TRUE
1071,0.092,0.089,0.11,0.249,0.46,0.291,1071,Jackson,,TRUE
1073,0.049,0.037,0.107,0.179,0.628,0.193,1073,Jefferson,,TRUE
1075,0.107,0.045,0.132,0.189,0.527,0.284,1075,Lamar,,TRUE
1077,0.093,0.119,0.141,0.179,0.469,0.353,1077,Lauderdale,,TRUE
1079,0.162,0.08,0.088,0.251,0.419,0.33,1079,Lawrence,,TRUE
1081,0.053,0.064,0.138,0.183,0.562,0.255,1081,Lee,,TRUE
1083,0.102,0.034,0.133,0.336,0.395,0.269,1083,Limestone,,TRUE
1085,0.12,0.073,0.145,0.199,0.464,0.338,1085,Lowndes,,TRUE
1087,0.008,0.033,0.241,0.172,0.545,0.282,1087,Macon,,TRUE
1089,0.062,0.05,0.123,0.177,0.589,0.235,1089,Madison,,TRUE
1091,0.033,0.151,0.118,0.186,0.512,0.302,1091,Marengo,,TRUE
1093,0.129,0.064,0.246,0.207,0.353,0.439,1093,Marion,,TRUE
1095,0.075,0.064,0.129,0.253,0.479,0.268,1095,Marshall,,TRUE
1097,0.077,0.07,0.102,0.244,0.506,0.249,1097,Mobile,,TRUE
1099,0.112,0.041,0.182,0.288,0.378,0.335,1099,Monroe,,TRUE
1101,0.056,0.095,0.123,0.212,0.513,0.274,1101,Montgomery,,TRUE
1103,0.078,0.077,0.082,0.304,0.459,0.237,1103,Morgan,,TRUE
1105,0.025,0.084,0.087,0.187,0.618,0.196,1105,Perry,,TRUE
1107,0.031,0.06,0.169,0.157,0.584,0.26,1107,Pickens,,TRUE
1109,0.06,0.131,0.145,0.333,0.33,0.336,1109,Pike,,TRUE
1111,0.158,0.226,0.105,0.144,0.368,0.489,1111,Randolph,,TRUE
1113,0.069,0.067,0.08,0.213,0.57,0.216,1113,Russell,,TRUE
1115,0.027,0.134,0.144,0.2,0.495,0.305,1115,St. Clair,,TRUE
1117,0.022,0.075,0.118,0.24,0.545,0.215,1117,Shelby,,TRUE
1119,0.055,0.068,0.118,0.197,0.562,0.241,1119,Sumter,,TRUE
1121,0.113,0.15,0.208,0.169,0.361,0.471,1121,Talladega,,TRUE
1123,0.067,0.095,0.136,0.296,0.406,0.298,1123,Tallapoosa,,TRUE
1125,0.041,0.036,0.144,0.247,0.532,0.221,1125,Tuscaloosa,,TRUE
1127,0.09,0.081,0.145,0.256,0.429,0.316,1127,Walker,,TRUE
1129,0.018,0.077,0.102,0.307,0.495,0.197,1129,Washington,,TRUE
1131,0.061,0.098,0.199,0.187,0.455,0.358,1131,Wilcox,,TRUE
1133,0.13,0.046,0.328,0.183,0.312,0.504,1133,Winston,,TRUE
2013,0.067,0.032,0.034,0.316,0.551,0.133,2013,Aleutians East Borough,,TRUE
2016,0.078,0.031,0.03,0.337,0.524,0.139,2016,Aleutians West Census Area,,TRUE
2020,0.042,0.05,0.049,0.196,0.663,0.141,2020,Anchorage Municipality,,TRUE
2050,0.101,0.022,0.014,0.45,0.413,0.137,2050,Bethel Census Area,,TRUE
2060,0.048,0.037,0.042,0.308,0.564,0.127,2060,Bristol Bay Borough,,TRUE
2068,0.062,0.081,0.067,0.225,0.565,0.21,2068,Denali Borough,,TRUE
2070,0.072,0.025,0.027,0.391,0.484,0.124,2070,Dillingham Census Area,,TRUE
